barrio,comuna,estrato,latitud,longitud,papel_carton_llenando,vidrio_llenando,plastico_latas_llenando,electronico_llenando,consolidado_llenando,papel_carton_cerrado,vidrio_cerrado,plastico_latas_cerrado,electronico_cerrado,consolidado_cerrado
71,4,3,7.125.211,-73.130.353,10,5,12,2,29,10,10,70,2,92
99,6,3,7.109.506,-73.125.051,7,8,23,1,39,57,15,92,12,176
187,13,4,7.131.884,-73.116.707,18,1,13,3,35,40,17,176,1,234
184,13,4,7.127.706,-73.115.603,15,7,38,3,63,34,38,73,14,159
56,3,2,7.139.190,-73.132.388,3,1,7,3,14,30,15,37,0,82
178,12,5,7.106.808,-73.105.387,16,9,21,6,52,66,57,81,18,222
133,10,4,7.086.262,-73.114.813,15,5,22,5,47,66,18,135,8,227
63,3,2,7.139.858,-73.134.933,7,4,7,4,22,34,7,10,11,62
200,15,3,7.119.611,-73.124.720,12,18,54,9,93,126,22,105,13,266
209,16,6,7.104.158,-73.097.310,4,4,14,0,22,34,0,19,11,64
186,13,4,7.124.650,-73.114.829,14,2,12,6,34,86,13,15,25,139
129,10,4,7.093.968,-73.113.205,11,6,28,2,47,75,0,41,21,137
58,3,3,7.139.044,-73.127.296,6,5,16,3,30,27,19,76,6,128
100,7,4,7.103.792,-73.128.015,9,7,24,0,40,36,13,38,7,94
218,17,3,7.100.098,-73.130.749,1,5,8,1,15,29,0,42,3,74
14,1,2,7.148.708,-73.134.350,15,5,3,2,25,23,21,60,0,104
12,1,3,7.152.984,-73.135.133,8,4,22,0,34,34,14,10,0,58
50,2,2,7.144.243,-73.126.098,1,1,1,0,3,8,0,7,4,19
81,5,3,7.109.733,-73.134.717,0,0,1,1,2,8,0,8,5,21
111,8,3,7.099.976,-73.121.370,0,1,0,1,2,8,0,0,6,14
146,11,3,7.082.335,-73.130.477,0,2,0,1,3,10,0,0,8,18
176,12,4,7.117.067,-73.114.492,3,4,2,1,10,26,6,18,7,57
